r,l,t
-23.612669,40,0.059727
-0.028984,1,0.074398
-0.173527,1,0.089146
0.856015,3,0.104792
0.742925,3,0.120593
-11.994209,30,0.15478
-3.54564,39,0.193397
-1.829144,9,0.213479
20.434323,42,0.255335
-0.291269,4,0.271904
-20.107398,44,0.314172
28.620228,46,0.357279
-47.374358,37,0.397497
-10.636825,24,0.426961
-1.462922,5,0.444363
-33.198766,39,0.48427
-17.520085,30,0.517972
-21.016704,37,0.556565
-0.169899,2,0.572567
-0.170495,4,0.587687
0.869406,2,0.603786
0.988313,1,0.618156
-1.195734,31,0.652981
-8.337876,37,0.691035
-0.595045,5,0.7087
-15.76255,39,0.748298
-1.217555,4,0.764584
-8.483483,39,0.80383
69.918606,43,0.846049
-33.369901,42,0.887587
-6.672155,27,0.919267
1.081494,8,0.939478
-35.07073,41,0.979357
-8.486888,33,1.014428
18.521119,40,1.053952
-0.029961,2,1.070035
-0.026326,1,1.08366
-0.126084,4,1.100093
0.815329,6,1.117556
-4.501493,34,1.153457
1.577682,36,1.190987
1.0397,7,1.209374
17.472908,38,1.248617
-1.157814,1,1.264073
-2.623541,38,1.302677
-22.792867,41,1.343815
-19.480734,40,1.383985
-5.025588,29,1.417263
-2.241151,11,1.492755
-30.397737,44,1.535108
-2.582685,32,1.569578
-5.786822,46,1.612428
-0.028984,1,1.626983
-0.026326,1,1.642492
-1.080836,1,1.656843
-0.336486,4,1.672439
-21.503421,34,1.708828
15.937853,32,1.744545
0.115894,7,1.76289
-15.203779,42,1.803856
-1.186709,4,1.821062
-23.367373,43,1.863135
-50.101662,41,1.912319
-2.197373,44,1.963043
-7.554574,29,2.004199
-0.205701,3,2.023462
55.547405,42,2.072798
-4.331671,32,2.112289
24.923684,40,2.157569
-0.167951,4,2.174729
-0.026326,1,2.19015
-1.067469,2,2.205733
-1.244691,4,2.223309
-8.002982,37,2.26789
-3.425941,37,2.314584
0.153308,10,2.336607
6.475067,39,2.384049
0.945498,2,2.399886
-13.796139,44,2.445715
26.180313,42,2.492125
-16.510833,45,2.539844
-4.103439,33,2.575766
-2.835464,3,2.592211
-16.879647,43,2.637341
-10.900575,34,2.677945
9.515848,39,4.319246
-0.028984,1,4.335649
-0.026326,1,4.349595
0.8828,1,4.364663
0.800761,5,4.383878
8.713028,34,4.421098
-0.812313,32,4.460516
3.006315,8,4.480078
15.581923,43,4.525043
0.945498,2,4.541621
58.882519,42,4.584092
-16.252967,48,4.630452
26.432551,38,4.672495
12.278658,30,4.708222
0.143226,6,4.72694
9.085469,44,4.771295
0.552583,40,4.810871
0.582338,38,4.851637
-0.028984,1,4.866239
-0.172516,2,4.881999
-1.170003,2,4.899853
-1.272431,2,4.916371
-0.099924,34,4.958204
3.17865,35,4.998015
0.078554,6,5.01495
35.399602,45,5.05881
0.959932,1,5.073779
-1.812102,37,5.113038
24.344582,40,5.154333
8.308973,39,5.194251
8.544283,26,5.225546
-0.399392,3,5.241412
40.48609,36,5.279855
7.519903,30,5.31451
3.441952,45,5.35789
-0.029961,2,5.373468
-0.027339,2,5.389067
-1.080836,1,5.404566
0.728696,2,5.422799
12.963464,34,5.466675
20.055595,39,5.512378
1.126229,8,5.533557
1.674066,39,5.578626
0.945498,2,5.594952
79.566295,36,5.637888
29.370129,44,5.686234
17.652749,44,5.736211
4.863063,31,5.774243
3.8487,10,5.796277
20.580013,42,5.83992
-0.122844,29,5.874811
29.572611,43,5.918836
-0.170874,1,5.932541
-0.172516,2,5.947834
-1.080836,1,5.96276
-1.244867,4,5.979546
-11.153347,31,6.015802
3.83147,38,6.05805
-3.84095,4,6.075543
-15.110743,40,6.118045
-1.143409,2,6.133758
18.149627,40,6.178653
66.574656,48,6.310727
0.615861,40,6.355011
12.646824,31,6.390191
-1.069182,6,6.40892
22.969173,41,6.45117
6.541254,32,6.488301
1.44521,41,6.530489
-0.029961,2,6.546137
-0.026326,1,6.561226
0.8828,1,6.57594
0.988313,1,6.590705
-7.095433,31,6.626343
7.398445,35,6.664413
-4.658972,5,6.681753
-31.87131,36,6.720859
0.831707,3,6.736794
32.16749,40,6.777449
17.808995,47,6.821486
-24.607275,45,6.864576
13.926582,31,6.900145
0.147782,9,6.921269
-1.342996,41,6.963412
-4.777662,29,6.996558
22.743502,38,7.038328
-0.029961,2,7.054746
-0.026326,1,7.070802
-1.067469,2,7.087306
-1.126549,2,7.105552
19.900214,30,8.600635
13.674756,34,8.639477
1.795937,7,8.659239
4.778824,35,8.699706
-1.158985,2,8.715601
13.494536,39,8.762308
1.076435,46,8.807885
63.260553,44,8.851757
1.725076,30,8.887014
3.022523,9,8.906983
49.909907,43,8.95058
2.103175,33,8.986619
3.102564,37,9.025956
-0.028984,1,9.040676
-0.026326,1,9.055455
0.815861,6,9.074099
-0.161579,4,9.089533
6.766602,28,9.123467
20.52927,33,9.162511
2.433898,9,9.181655
37.924253,39,9.225875
-1.129007,3,9.242118
63.196893,41,9.284637
76.558586,44,9.329912
48.042519,43,9.373809
2.18715,28,9.409099
2.523636,5,9.42697
48.977492,41,9.469279
34.251465,29,9.507455
18.303642,41,9.555585
-0.170874,1,9.57073
-0.026326,1,9.587236
0.745401,4,9.603841
0.78619,4,9.620726
20.574723,33,9.656985
5.372144,36,9.694167
-0.398118,10,9.71466
69.269984,39,9.755382
-1.332282,3,9.771554
45.73639,43,9.814595
42.28473,41,9.857872
65.711456,40,9.900665
-1.338908,26,9.936265
-0.399392,3,9.953326
-26.610513,41,9.997707
33.711473,30,10.033322
21.677012,39,10.075364
-0.028984,1,10.091225
-0.026326,1,10.105871
-1.080836,1,10.120392
-1.141158,3,10.135225
16.225972,30,10.1724
6.576112,37,10.214622
-0.754518,7,10.236528
37.656678,42,10.280916
-0.162988,2,10.297283
37.263736,47,10.346498
59.210451,43,10.394254
67.126276,39,10.438176
2.444704,33,10.475471
3.787934,4,10.494021
30.521833,38,10.533381
11.957442,31,10.569307
32.057653,38,10.611511
-0.028984,1,10.626402
-0.027339,2,10.642024
-0.245483,2,10.657815
-0.147224,3,10.67431
3.536113,31,10.709217
11.173543,35,10.748971
1.451266,6,10.768512
21.795791,43,10.813279
0.761075,2,10.829007
16.045484,39,10.872095
49.437809,43,10.916082
23.103387,40,10.956653
-10.485801,34,10.992732
-0.909184,7,11.011408
22.432951,41,11.054646
20.250568,32,11.092008
17.3963,37,11.131729
-0.029961,2,11.146989
-0.026326,1,11.163013
-1.067469,2,11.177547
0.988313,1,11.193222
8.389531,33,11.229969
14.934074,37,11.272254
-2.662189,7,11.292399
54.304678,39,12.497613
-1.217734,4,12.516919
60.356317,43,12.563055
70.362156,40,12.60902
49.702574,39,12.652034
14.599838,33,12.690558
0.442621,6,12.708339
73.293807,37,12.748319
-17.43641,27,12.780582
44.92263,39,12.913158
-0.028984,1,12.928183
-0.028351,3,12.944953
0.8828,1,12.960201
-1.274405,2,12.976093
12.712611,36,13.015232
25.23795,33,13.054517
5.571682,9,13.074321
21.43263,39,13.116258
-0.234917,2,13.13292
67.066916,41,13.174225
124.827129,43,13.218985
96.454215,41,13.262576
0.719152,27,13.294504
3.083172,4,13.312059
85.505289,41,13.354109
5.548365,30,13.388566
44.920647,41,13.429837
-0.028984,1,13.444537
-0.026326,1,13.460119
0.8828,1,13.47375
0.973497,2,13.489859
-2.324225,37,13.527166
28.766047,34,13.564946
-0.642297,3,13.581018
80.676091,39,13.621542
-1.217734,4,13.63801
46.188966,40,13.679454
55.400825,45,13.723153
52.689582,40,13.767658
6.351235,30,13.801563
2.002409,12,13.822943
55.502776,41,13.864042
29.285233,34,13.901322
53.681394,37,13.940047
-0.028984,1,13.955474
-0.026326,1,13.969004
0.8828,1,13.984415
0.846782,4,13.999812
25.365083,28,14.032452
27.430557,35,14.071955
0.450166,5,14.088733
49.070722,41,14.13005
-1.218099,4,14.147616
74.059499,42,14.188241
54.859367,43,14.230818
69.939235,35,14.269423
7.261445,32,14.307622
1.277777,8,14.326811
66.749199,42,14.371086
17.663467,29,14.407343
43.852721,39,14.450883
-0.028984,1,14.466386
-0.027339,2,14.482679
0.8828,1,14.498269
0.874578,2,14.514258
1.728114,33,14.554218
12.718864,40,14.593712
2.173609,6,14.612382
43.738611,38,14.654175
0.959932,1,14.668893
86.463211,39,14.710297
85.255525,39,14.756253
87.068226,42,14.798218
11.875332,29,14.831785
0.654746,7,14.850322
64.488905,39,14.89001
15.677515,31,14.924613
12.961693,42,14.966576
-0.028984,1,14.980222
-0.026326,1,14.995924
0.869406,2,15.011116
-1.242438,4,15.026599
11.38856,28,15.060062
6.274008,35,15.099502
-2.876193,3,15.116193
43.540972,40,15.160034
0.848418,2,15.176464
68.160419,40,15.222355
31.237441,43,16.369139
93.168635,38,16.412972
-0.548972,34,16.454564
-5.086386,14,16.478863
55.082109,43,16.525612
34.447645,34,16.565547
69.726682,41,16.609653
-0.028984,1,16.624668
-0.026326,1,16.639676
0.8828,1,16.655549
0.876556,2,16.671423
7.552482,29,16.706041
37.846642,33,16.744548
-0.311647,3,16.761214
95.665158,38,16.803618
-1.157814,1,16.817572
59.69592,37,16.8582
65.648592,40,16.902803
52.396947,40,16.944009
-9.545511,24,16.978314
1.229196,7,16.996606
88.863316,35,17.036835
1.605363,25,17.07182
31.414805,40,17.113047
-0.028984,1,17.128981
-0.026326,1,17.143785
0.8828,1,17.15762
0.845363,4,17.174444
17.874167,29,17.20917
25.509105,35,17.247139
2.147421,7,17.266105
43.206657,41,17.306883
-0.305453,3,17.323059
67.002543,40,17.364407
78.084759,40,17.405651
57.419323,42,17.44828
14.120179,30,17.482813
0.623947,6,17.500701
75.560397,39,17.54204
-1.232041,27,17.578823
40.980709,37,17.635825
-0.170874,1,17.65094
-0.026326,1,17.666594
0.869406,2,17.680899
-0.250655,3,17.696903
20.440873,30,17.732769
21.349257,34,17.76893
3.958542,5,17.785898
36.816976,41,17.831712
-1.158985,2,17.847488
51.498854,37,17.890676
65.870878,39,17.931529
99.949547,42,17.97302
15.684677,28,18.007131
-1.532404,6,18.024018
109.196174,43,18.067218
23.12005,32,18.102814
49.199516,35,18.140385
-0.028984,1,18.154944
-0.026326,1,18.169395
-1.143512,4,18.185901
-0.265337,2,18.201188
31.275565,32,18.237282
26.398007,37,18.275732
3.712064,4,18.292572
54.188699,36,18.330747
0.846281,2,18.34689
88.557383,39,18.385819
117.439688,43,18.428729
89.776095,39,18.467558
4.809022,26,18.498988
-1.55503,6,18.517209
109.441012,43,18.560305
18.874411,32,18.596925
41.461931,35,18.63701
-0.028984,1,18.652908
-0.172516,2,18.669
0.8828,1,18.684351
-1.171352,2,18.70033
19.118017,31,18.742206
27.744887,34,18.784845
3.530736,10,18.80739
63.32256,41,18.856152
0.916639,4,18.872674
67.38363,36,19.026296
35.800036,40,19.069921
23.301813,38,19.112634
4.261209,26,19.147301
3.819885,3,19.162754
102.128951,41,19.206977
20.610896,33,20.314062
64.984406,37,20.354022
-0.029961,2,20.370354
-0.026326,1,20.384088
0.8828,1,20.399786
-1.171352,2,20.414965
27.346427,33,20.451018
25.038505,35,20.489686
5.454165,7,20.508786
43.088015,45,20.552197
-1.158985,2,20.568687
81.917882,39,20.607557
108.525629,38,20.647707
113.434861,39,20.687775
0.316102,28,20.720389
2.287641,6,20.738595
107.473011,39,20.784023
18.956013,27,20.822224
44.117353,40,20.864571
-0.029961,2,20.880649
-0.026326,1,20.89566
-1.080836,1,20.910623
0.742925,3,20.92691
28.570077,31,20.964419
31.912875,32,21.004127
-0.437445,4,21.023053
72.296983,36,21.071521
0.959932,1,21.088342
62.814555,40,21.135678
126.528021,44,21.180769
110.67199,39,21.224905
1.609752,25,21.259427
-4.244959,5,21.278168
114.393679,38,21.321331
26.502583,33,21.360195
57.832962,34,21.400917
-0.028984,1,21.41664
-0.026326,1,21.43262
0.869406,2,21.450061
0.742925,3,21.4655
24.549434,29,21.503539
36.718166,33,21.543855
-0.441688,5,21.561686
64.49286,38,21.604181
-0.191452,4,21.622198
95.934348,41,21.666934
62.837406,40,21.713049
125.734054,37,21.756322
1.819116,29,21.79371
0.813756,4,21.810121
87.183337,40,21.851887
12.468524,31,21.887498
63.397537,35,21.925399
-0.169899,2,21.941388
-0.026326,1,21.955918
-1.080836,1,21.970398
-0.336305,4,21.986086
26.607003,37,22.02487
38.777089,35,22.062979
-4.341942,3,22.081003
38.629291,38,22.120864
0.833914,3,22.137622
93.846732,36,22.182279
119.965571,38,22.228002
76.608652,40,22.273491
12.246442,31,22.309463
3.576888,4,22.326711
55.36844,41,22.371102
23.898536,28,22.406313
57.378711,38,22.447577
-0.028984,1,22.462295
-0.026326,1,22.477973
0.8828,1,22.49223
0.728696,2,22.508352
18.984464,34,22.548058
25.772413,31,22.584415
2.613907,6,22.603366
44.038753,35,22.642743
0.802569,5,22.659885
72.958409,39,22.700526
127.796477,38,22.740179
73.798975,37,22.781464
8.570996,30,22.819
-4.420083,3,22.836308
114.841135,38,22.878492
20.69389,28,22.913232
49.842213,36,22.952449
-0.028984,1,22.967071
-0.026326,1,22.981674
-0.245483,2,22.997955
-1.242925,4,23.0134
27.342976,33,23.050047
29.659638,36,23.08803
-0.311647,3,23.103977
86.542853,33,23.141747
-1.24419,2,23.158129
65.360119,37,24.527057
151.129245,38,24.567821
107.526757,34,24.607765
15.171873,28,24.642341
-4.569621,5,24.660729
60.315991,40,24.702411
22.434611,27,24.735022
