r,l,t
-0.1,364,2.413561
-0.2,1,2.42414
-0.3,1,2.435578
-0.4,1,2.440006
-0.5,1,2.442353
-0.6,1,2.44736
-0.7,1,2.465223
-0.8,1,2.467824
-0.9,1,2.471943
-1.0,1,2.474448
-1.1,1,2.481013
-1.2,1,2.485257
-1.3,1,2.489213
-1.4,1,2.500923
-1.5,1,2.512982
-1.6,1,2.516943
-1.7,1,2.5288
-1.8,1,2.534486
-1.9,1,2.549597
-2.0,1,2.552431
-2.1,1,2.554427
-2.2,1,2.55743
-2.3,1,2.560162
-2.4,1,2.572579
-2.5,1,2.582899
-2.6,1,2.585835
-2.7,1,2.608195
-2.8,1,2.611578
-2.9,1,2.614098
-3.0,1,2.616093
-3.1,1,2.622097
-3.2,1,2.628321
-3.3,1,2.631033
-3.4,1,2.633956
-3.5,1,2.644402
-3.6,1,2.650836
-3.7,1,2.65389
-3.8,1,2.671885
-3.9,1,2.695827
-4.0,1,2.698931
-4.1,1,2.702167
-4.2,1,2.70682
-4.3,1,2.7256
-4.4,1,2.727999
-4.5,1,2.730543
-4.6,1,2.733384
-4.7,1,2.737016
-4.8,1,2.747491
-4.9,1,2.759243
-5.0,1,2.762048
-5.1,1,2.76446
-5.2,1,2.767471
-5.3,1,2.771209
-5.4,1,2.774081
-5.5,1,2.778045
-5.6,1,2.782352
-5.7,1,2.793504
-5.8,1,2.795991
-5.9,1,2.801038
-6.0,1,2.810261
-6.1,1,2.814231
-6.2,1,2.824651
-6.3,1,2.827757
-6.4,1,2.830453
-6.5,1,2.841167
-6.6,1,2.843192
-6.7,1,2.845547
-6.8,1,2.847873
-6.9,1,2.851853
-7.0,1,2.87017
-7.1,1,2.872729
-7.2,1,2.875238
-7.3,1,2.878269
-7.4,1,2.88203
-7.5,1,2.887859
-7.6,1,2.9038
-7.7,1,2.906647
-7.8,1,2.917205
-7.9,1,2.919218
-8.0,1,2.921561
-8.1,1,2.924651
-8.2,1,2.928031
-8.3,1,2.930612
-8.4,1,2.93666
-8.5,1,2.941668
-8.6,1,2.944026
-8.7,1,2.947087
-8.8,1,2.949549
-8.9,1,2.960612
-9.0,1,2.963183
-9.1,1,2.965883
-9.2,1,2.968773
-9.3,1,2.989936
-9.4,1,3.000389
-9.5,1,3.002814
-9.6,1,3.005709
-9.7,1,3.009431
-9.8,1,3.015271
-9.9,1,3.025731
-10.0,1,3.028657
-10.1,1,3.031984
-10.2,1,3.034024
-10.3,1,3.044641
-10.4,1,3.048303
-10.5,1,3.054757
-10.6,1,3.057936
-10.7,1,3.060937
-10.8,1,3.071197
-10.9,1,3.07323
-11.0,1,3.075604
-11.1,1,3.0776
-11.2,1,3.088195
-11.3,1,3.090257
-11.4,1,3.094954
-11.5,1,3.097518
-11.6,1,3.100745
-11.7,1,3.103648
-11.8,1,3.118193
-11.9,1,3.120211
-12.0,1,3.130886
-12.1,1,3.13488
-12.2,1,3.147563
-12.3,1,3.150462
-12.4,1,3.153412
-12.5,1,3.155775
-12.6,1,3.159622
-12.7,1,3.162508
-12.8,1,3.16485
-12.9,1,3.169486
-13.0,1,3.173548
-13.1,1,3.17668
-13.2,1,3.189187
-13.3,1,3.212485
-13.4,1,3.214514
-13.5,1,3.218476
-13.6,1,3.225379
-13.7,1,3.240283
-13.8,1,3.242296
-13.9,1,3.244664
-14.0,1,3.267367
-14.1,1,3.269937
-14.2,1,3.274026
-14.3,1,3.276698
-14.4,1,3.279778
-14.5,1,3.298809
-14.6,1,3.31218
-14.7,1,3.314565
-14.8,1,3.326353
-14.9,1,3.338576
-15.0,1,3.343719
-15.1,1,3.36312
-15.2,1,3.365138
-15.3,1,3.368544
-15.4,1,3.372307
-15.5,1,3.375906
-15.6,1,3.378254
-15.7,1,3.387179
-15.8,1,3.398325
-15.9,1,3.400368
-16.0,1,3.419269
-16.1,1,3.422221
-16.2,1,3.426552
-16.3,1,3.433772
-16.4,1,3.439365
-16.5,1,3.451384
-16.6,1,3.45702
-16.7,1,3.464911
-16.8,1,3.479325
-16.9,1,3.484161
-17.0,1,3.490337
-17.1,1,3.493552
-17.2,1,3.498202
-17.3,1,3.501704
-17.4,1,3.512685
-17.5,1,3.515057
-17.6,1,3.51762
-17.7,1,3.520137
-17.8,1,3.52261
-17.9,1,3.524942
-18.0,1,3.526928
-18.1,1,3.537534
-18.2,1,3.539559
-18.3,1,3.543724
-18.4,1,3.550263
-18.5,1,3.552973
-18.6,1,3.559603
-18.7,1,3.570941
-18.8,1,3.576137
-18.9,1,3.578115
-19.0,1,3.58218
-19.1,1,3.587396
-19.2,1,3.593289
-19.3,1,3.595805
-19.4,1,3.606618
-19.5,1,3.609562
-19.6,1,3.612406
-19.7,1,3.61439
-19.8,1,3.630563
-19.9,1,3.632946
-20.0,1,3.63539
-20.1,1,3.646101
-20.2,1,3.649519
-20.3,1,3.661314
-20.4,1,3.673087
-20.5,1,3.692736
-20.6,1,3.703814
-20.7,1,3.710497
-20.8,1,3.715958
-20.9,1,3.73138
-21.0,1,3.742921
-21.1,1,3.746883
-21.2,1,3.758834
-21.3,1,3.761838
-21.4,1,3.764941
-21.5,1,3.768611
-21.6,1,3.786061
-21.7,1,3.788994
-21.8,1,3.791498
-21.9,1,3.794379
-22.0,1,3.797047
-22.1,1,3.801866
-22.2,1,3.804456
-22.3,1,3.80643
-22.4,1,3.821228
-22.5,1,3.824946
-22.6,1,3.827771
-22.7,1,3.832736
-22.8,1,3.848257
-22.9,1,3.851239
-23.0,1,3.854117
-23.1,1,3.87544
-23.2,1,3.880112
-23.3,1,3.882493
-23.4,1,3.886304
-23.5,1,3.88937
-23.6,1,3.906766
-23.7,1,3.91181
-23.8,1,3.916748
-23.9,1,3.921031
-24.0,1,3.926739
-24.1,1,3.937014
-24.2,1,3.956715
-24.3,1,3.959632
-24.4,1,3.962362
-24.5,1,3.964732
-24.6,1,3.969461
-24.7,1,3.973233
-24.8,1,3.97839
-24.9,1,3.981409
-25.0,1,3.993015
-25.1,1,3.995014
-25.2,1,4.000943
-25.3,1,4.00421
-25.4,1,4.007426
-25.5,1,4.009769
-25.6,1,4.012231
-25.7,1,4.015298
-25.8,1,4.021045
-25.9,1,4.032454
-26.0,1,4.043917
-26.1,1,4.057579
-26.2,1,4.069622
-26.3,1,4.091048
-26.4,1,4.093713
-26.5,1,4.09619
-26.6,1,4.106545
-26.7,1,4.108947
-26.8,1,4.11107
-26.9,1,4.113601
-27.0,1,4.116471
-27.1,1,4.119939
-27.2,1,4.126717
-27.3,1,4.138277
-27.4,1,4.140418
-27.5,1,4.148239
-27.6,1,4.15696
-27.7,1,4.167562
-27.8,1,4.172537
-27.9,1,4.177264
-28.0,1,4.183851
-28.1,1,4.188849
-28.2,1,4.19246
-28.3,1,4.195505
-28.4,1,4.207692
-28.5,1,4.222923
-28.6,1,4.225907
-28.7,1,4.238168
-28.8,1,4.240863
-28.9,1,4.243446
-29.0,1,4.246159
-29.1,1,4.248893
-29.2,1,4.251403
-29.3,1,4.25339
-29.4,1,4.255368
-29.5,1,4.265586
-29.6,1,4.289518
-29.7,1,4.292756
-29.8,1,4.296651
-29.9,1,4.30675
-30.0,1,4.318415
-30.1,1,4.330757
-30.2,1,4.344208
-30.3,1,4.351533
-30.4,1,4.356031
-30.5,1,4.359153
-30.6,1,4.374205
-30.7,1,4.376627
-30.8,1,4.381353
-30.9,1,4.384582
-31.0,1,4.387242
-31.1,1,4.390152
-31.2,1,4.396529
-31.3,1,4.399045
-31.4,1,4.401384
-31.5,1,4.413284
-31.6,1,4.41541
-31.7,1,4.418831
-31.8,1,4.43029
-31.9,1,4.433557
-32.0,1,4.44477
-32.1,1,4.447357
-32.2,1,4.449871
-32.3,1,4.45185
-32.4,1,4.462296
-32.5,1,4.464295
-32.6,1,4.466305
-32.7,1,4.477535
-32.8,1,4.482969
-32.9,1,4.493554
-33.0,1,4.513957
-33.1,1,4.516517
-33.2,1,4.539342
-33.3,1,4.541944
-33.4,1,4.54834
-33.5,1,4.551219
-33.6,1,4.556397
-33.7,1,4.560481
-33.8,1,4.570785
-33.9,1,4.573512
-34.0,1,4.580116
-34.1,1,4.583046
-34.2,1,4.587046
-34.3,1,4.58957
-34.4,1,4.594061
-34.5,1,4.606637
-34.6,1,4.608756
-34.7,1,4.616469
-34.8,1,4.619358
-34.9,1,4.622078
-35.0,1,4.636327
-35.1,1,4.643613
-35.2,1,4.647041
-35.3,1,4.65085
-35.4,1,4.655479
-35.5,1,4.658735
-35.6,1,4.661282
-35.7,1,4.672103
-35.8,1,4.683807
-35.9,1,4.687992
-36.0,1,4.690325
-36.1,1,4.695502
-36.2,1,4.713449
-36.3,1,4.716
-265323.753707,1090,14.504126
2.142501,1,14.517076
3.213752,1,14.527405
4.285003,1,14.535045
5.356254,1,14.553327
6.427504,1,14.55675
7.498755,1,14.559468
8.570006,1,14.565391
9.641257,1,14.571612
10.712507,1,14.574295
11.783758,1,14.577162
12.855009,1,14.587615
13.92626,1,14.59414
14.99751,1,14.613385
16.068761,1,14.637342
17.140012,1,14.639358
18.211263,1,14.642072
19.282513,1,14.653373
20.353764,1,14.666725
21.425015,1,14.669102
22.496266,1,14.671632
23.567516,1,14.676266
24.638767,1,14.684589
25.710018,1,14.698329
26.781268,1,14.700911
27.852519,1,14.703255
28.92377,1,14.706332
29.995021,1,14.709024
31.066271,1,14.711009
32.137522,1,14.713973
33.208773,1,14.716846
34.280024,1,14.720794
35.351274,1,14.725128
36.422525,1,14.736171
37.493776,1,14.738554
38.565027,1,14.741913
39.636277,1,14.745734
40.707528,1,14.754964
41.778779,1,14.76734
42.85003,1,14.770494
43.92128,1,14.77302
44.992531,1,14.783758
46.063782,1,14.785815
47.135033,1,14.788216
48.206283,1,14.79261
49.277534,1,14.81081
50.348785,1,14.813614
51.420035,1,14.817147
52.491286,1,14.820911
53.562537,1,14.826785
54.633788,1,14.833842
55.705038,1,14.84654
56.776289,1,14.849603
57.84754,1,14.86068
58.918791,1,14.863295
59.990041,1,14.867456
61.061292,1,14.870015
62.132543,1,14.879492
63.203794,1,14.882149
64.275044,1,14.885368
65.346295,1,14.887764
66.417546,1,14.899019
67.488797,1,14.901657
68.560047,1,14.90542
69.631298,1,14.907398
70.702549,1,14.928477
71.7738,1,14.938843
72.84505,1,14.941254
73.916301,1,14.94397
