r,l,t
0.109669,1,0.090836
1.958348,2,0.103216
-1.473334,6,0.127518
-2.434409,7,0.142767
-0.579866,1,0.157379
-3.419182,6,0.179565
-0.1,3,0.190904
6.73675,8,0.217332
1.605562,3,0.237584
3.320775,9,0.264996
0.14218,1,0.274415
-1.658981,3,0.287364
-2.62555,2,0.310251
0.953963,5,0.32152
0.893042,1,0.338246
-0.1,3,0.348672
-2.205866,3,0.361632
-0.91179,5,0.374773
-0.832665,1,0.394896
0.363092,1,0.413351
0.791087,2,0.430944
-5.505435,6,0.445137
0.916348,2,0.465879
-0.1,3,0.47602
-0.894776,5,0.496012
-9.35358,7,0.513208
-0.055987,5,0.535454
3.271668,2,0.548435
2.774736,5,0.569881
0.878487,2,0.592572
-0.1,2,0.601935
1.024713,2,0.61199
-0.1,1,0.623286
-1.296293,2,0.640313
1.835357,2,0.657723
-0.454024,1,0.679681
-0.1,1,0.691124
0.655244,2,0.701328
3.01879,1,0.712566
1.850316,2,0.730688
-4.324206,5,0.746575
4.92677,7,0.76633
-16.597626,5,0.781134
-5.290546,5,0.805391
1.354074,5,0.826351
5.752158,8,0.850934
-3.059997,3,0.863339
1.393045,2,0.873791
-1.833986,2,0.896376
-1.274135,2,0.915894
-3.953752,3,0.927507
0.217487,2,0.950173
-0.963511,10,0.974751
-2.970934,7,0.999627
-4.065001,6,1.024462
-0.048984,2,1.043517
1.127578,5,1.06576
1.171238,3,1.079297
-1.569742,3,1.088577
5.584882,3,1.100221
-0.1,1,1.108827
-0.1,1,1.119662
4.191307,3,1.12928
0.948476,1,1.140503
0.4994,1,1.15489
0.174406,1,1.173213
-1.82381,3,1.190031
3.250966,6,1.21567
-0.1,2,1.273447
0.299816,1,1.29571
-1.190791,1,1.304748
0.803098,8,1.322837
-0.1,1,1.331473
0.21385,5,1.352223
-7.849604,6,1.365454
0.615703,2,1.386998
-0.766487,3,1.4002
1.208326,5,1.412947
1.510415,2,1.43331
1.231341,3,1.453822
-3.892923,4,1.465698
-2.074595,3,1.487873
2.905101,4,1.500884
0.109669,1,1.521174
2.058348,2,1.533204
-3.784072,5,1.555681
-2.976787,6,1.570242
-0.579866,1,1.584941
-3.419182,6,1.607105
-0.1,3,1.618482
1.666172,7,1.643838
1.605562,3,1.664233
3.320775,9,1.689453
0.14218,1,1.698731
-1.658981,3,1.713843
-2.62555,2,1.73448
0.953963,5,1.74793
0.893042,1,1.764926
-0.1,3,1.775371
-2.205866,3,1.788542
-0.91179,5,1.800909
-0.832665,1,1.821045
0.363092,1,1.839386
0.791087,2,1.85702
0.76044,7,1.872397
0.916348,2,1.893103
-0.1,3,1.903224
-0.894776,5,1.923501
-9.35358,7,1.938651
-0.055987,5,1.963196
3.271668,3,1.974709
-0.688802,5,1.998365
0.878487,2,2.019184
-0.1,2,2.030806
1.024713,2,2.041163
-0.1,1,2.050406
-1.296293,2,2.069838
1.835357,2,2.085312
-0.454024,1,2.107521
-0.1,1,2.119032
0.655244,2,2.131572
3.01879,1,2.139075
2.425847,2,2.160092
-4.324206,5,2.1739
4.92677,7,2.195578
-10.80053,5,2.21296
-5.290546,5,2.234649
1.354074,5,2.253346
0.471494,9,2.280763
-3.059997,3,2.293388
1.393045,2,2.303926
-1.833986,2,2.326668
-1.274135,2,2.346404
-3.953752,3,2.357966
0.217487,2,2.380597
-0.963511,10,2.405419
-2.970934,7,2.429764
-4.065001,6,2.453046
-0.048984,2,2.471339
1.127578,5,2.493649
1.171238,3,2.505042
-1.569742,4,2.516966
5.584882,3,2.528689
-0.1,1,2.53727
-0.1,1,2.545854
4.191307,3,2.557048
0.948476,1,2.566062
0.4994,1,2.58049
-0.373857,1,2.601255
-1.82381,3,2.618129
3.250966,6,2.642248
-0.1,3,2.653374
0.299816,1,2.675402
-1.190791,1,2.684441
-4.697879,6,2.701141
-0.1,1,2.709749
0.21385,5,2.730792
-7.849604,6,2.746534
0.615703,2,2.763441
-0.766487,3,2.778735
1.208326,5,2.79159
1.510415,2,2.812178
1.231341,3,2.83228
-3.892923,4,2.844192
-2.074595,3,2.863974
2.905101,4,2.876813
0.109669,1,2.899417
2.058348,2,2.906621
