r,l,t
-1.578175,2,0.493377
0.24741,7,0.56812
0.406299,6,0.636265
0.387995,3,0.708906
0.133622,5,0.78432
1.600428,5,0.858923
1.502714,5,0.93212
-0.234274,5,1.00706
-0.719735,6,1.083139
-2.528646,6,1.158878
-3.736123,5,1.227657
1.345163,8,1.295719
-0.926417,1,1.367386
1.386234,7,1.442007
-1.33776,2,1.514126
-2.33532,16,1.654376
-1.80088,2,1.721303
-3.226976,4,1.795807
-4.249216,11,1.871247
1.517887,7,1.947171
-0.49506,1,2.019448
1.301193,2,2.092159
0.829496,4,2.165821
-1.74513,1,2.234286
-1.046376,5,2.302794
1.152343,8,2.377782
-1.839151,2,2.451316
1.723514,13,2.531272
-2.27245,7,2.606707
-2.710748,7,2.676108
-0.476111,2,2.74832
-0.084753,3,2.819744
-0.045261,2,2.891552
0.097167,1,2.962649
-1.524841,4,3.035987
-3.181811,7,3.111272
1.342072,1,3.182782
3.493775,11,3.261355
0.307354,4,3.328418
1.62401,3,3.401131
-0.212566,3,3.471059
-0.61296,2,3.542865
-2.054659,3,3.614967
-3.334023,11,3.691906
3.147975,5,3.760809
-1.961006,13,3.840733
3.359281,6,3.916986
-1.001962,2,3.988991
-0.900664,2,4.060631
0.418667,5,4.135165
-2.379066,5,4.210034
0.777991,4,4.283837
-10.139357,22,4.367423
-0.912403,5,4.440715
3.389003,9,4.520043
0.531438,6,4.595082
-1.678028,2,4.663106
-0.75969,3,4.735997
0.412953,4,4.810155
0.946748,1,4.882383
0.303697,3,4.955498
-2.209087,3,5.028437
-0.255863,8,5.099876
-4.534431,3,5.167751
9.143828,17,5.248425
-3.033723,2,5.321182
1.752563,5,5.395988
-1.085047,3,5.46901
-3.725237,14,5.546951
1.185625,7,5.621668
3.837093,3,5.694826
-2.004724,8,5.771048
2.792457,7,5.847117
-2.535608,9,5.919086
0.052018,1,5.990968
1.216594,4,6.061051
0.266266,2,6.13294
0.794693,1,6.202874
-1.482699,1,6.266515
0.006621,5,6.34051
0.32856,3,6.413509
-0.873179,4,6.487825
2.798537,7,6.565874
-0.182092,8,6.64229
-0.07807,5,6.712246
0.337877,5,6.779444
1.094747,4,6.853082
-0.633854,2,6.925096
0.99438,4,6.999442
-1.988079,4,7.0731
0.068561,14,7.146555
-0.387405,1,7.21753
0.707051,2,7.28149
-0.262196,6,7.358046
-0.447711,4,7.431454
2.152176,14,7.507307
1.854641,7,7.583227
-2.793786,11,7.660425
-3.164453,9,7.731684
-1.742956,9,7.801594
-1.837869,3,7.874136
-0.525371,2,7.945803
-0.631059,5,8.019975
1.965359,6,8.094956
-1.04234,12,8.167136
-1.355795,3,8.233684
1.322606,2,8.305809
-0.323514,13,8.382719
3.910786,6,8.452564
2.460054,7,8.526764
2.932535,5,8.601194
-1.466458,8,8.674201
0.794474,3,8.746125
0.867026,5,8.814676
-2.484253,2,8.888142
0.332468,1,8.959641
-0.978417,1,9.03137
-2.969228,2,9.103391
-1.002847,7,9.179658
-0.399984,4,9.253237
1.919308,2,9.324947
-0.929192,5,9.396854
1.343703,4,9.464763
1.71468,4,9.538199
-2.183459,4,9.611759
2.914193,6,9.684642
0.781701,5,9.758862
-3.849274,4,9.832436
1.482196,2,9.904593
-1.502666,1,9.972583
0.747693,2,10.043976
3.318944,9,10.119846
-0.323237,1,10.187973
2.179286,8,10.264034
-1.747486,2,10.336348
0.315725,3,10.402257
-2.177475,5,10.476464
1.02475,3,10.551082
-3.444593,14,10.636525
1.47583,5,10.71033
1.92052,6,10.78098
0.609196,4,10.848811
0.969651,1,10.920008
-1.928144,5,10.994393
-0.633715,7,11.069838
-3.547882,6,11.143987
3.018101,9,11.220907
2.538178,2,11.293181
-0.958429,6,11.369174
0.41557,10,11.446187
-2.478982,6,11.512032
0.930213,8,11.587876
-0.765618,5,11.657102
-8.627571,9,11.733371
-7.312773,8,11.809931
0.285128,6,11.884725
0.960446,15,11.961924
-0.411185,3,12.035565
-0.056794,1,12.096145
-1.389286,3,12.158322
-0.010404,1,12.218881
-0.25495,2,12.280242
0.15679,1,12.341137
-1.644238,4,12.414569
0.923736,4,12.488436
-1.652173,8,12.566603
-1.317145,6,12.639814
0.887099,2,12.711392
0.870168,5,12.785039
3.312877,5,12.859076
-2.436087,3,12.930629
1.363833,2,13.002693
0.341298,2,13.067852
-3.223287,12,13.141289
1.451479,6,13.214813
1.964474,3,13.288346
0.156833,5,13.362881
-1.518679,3,13.428885
-1.126763,1,13.501066
-2.549533,10,13.57508
-2.473095,5,13.64941
-0.418004,5,13.723312
-3.227611,6,13.79159
-3.215291,5,13.866787
2.64646,3,13.940559
1.848368,5,14.014387
0.846625,5,14.088447
0.645344,1,14.158024
-0.124876,6,14.232659
-0.715569,4,14.306571
-1.33582,2,14.378492
1.232478,10,14.455665
3.742095,8,14.528883
-1.125616,2,14.602241
1.480787,7,14.67743
-1.059844,2,14.749532
-0.335893,3,14.822442
1.204755,8,14.89525
1.62228,6,14.97055
0.219392,13,15.047922
4.806082,6,15.116359
-3.916293,12,15.192111
-1.129724,5,15.265436
-0.23104,1,15.337029
1.717127,6,15.412042
-0.209998,1,15.481188
-4.225124,2,15.554606
-2.106937,4,15.628565
0.841724,2,15.698603
0.510756,5,15.771946
-0.596424,15,15.848197
-0.830055,4,15.920808
1.180747,10,15.997733
2.2488,6,16.069199
-2.301765,6,16.14358
-1.908897,5,16.21101
1.009398,6,16.282108
0.265085,1,16.353498
-2.686716,5,16.419007
-0.573517,2,16.490588
-2.691437,5,16.564699
1.23048,7,16.640189
-0.091553,3,16.707586
-2.117679,3,16.781312
-3.287385,11,16.85892
-0.186855,16,16.934933
-0.521148,3,17.007983
-0.529599,2,17.081239
0.977644,5,17.154156
0.458495,3,17.226125
0.45769,6,17.296401
0.64832,4,17.369952
0.76595,4,17.435201
0.608682,2,17.506982
0.365656,3,17.579627
-5.037683,8,17.656405
-3.386813,9,17.732552
-5.210179,9,17.803666
-0.466139,13,17.882711
1.84929,15,17.962142
-0.602931,1,18.032984
-0.419952,4,18.10018
1.304847,1,18.170631
2.374117,7,18.24208
-0.158592,2,18.310769
-2.541312,6,18.385956
0.551144,1,18.457852
-0.308029,6,18.533096
-3.954416,3,18.608579
-0.906192,11,18.685711
7.44687,11,18.759341
-1.523838,6,18.832742
-0.385935,1,18.905371
0.722627,7,18.981365
0.687238,7,19.057265
2.248869,3,19.130376
0.982379,3,19.203604
-0.380491,7,19.275486
0.010728,4,19.34411
-0.854484,2,19.416851
-0.173341,4,19.490553
-1.60592,7,19.561666
0.596562,2,19.634629
1.85126,6,19.703758
-1.524191,5,19.778082
-4.713983,7,19.853437
-1.87469,8,19.925232
-0.177927,5,19.997572
-1.39671,8,20.067339
-1.960667,2,20.139196
-2.543482,3,20.211737
0.23375,6,20.280381
-1.46285,2,20.352317
3.585869,4,20.420456
0.218638,8,20.496285
-1.944057,4,20.571772
1.308583,4,20.641522
0.065324,9,20.716874
-2.602442,3,20.789532
-2.829412,3,20.854699
-1.192618,4,20.926149
-1.112048,3,20.990185
-1.581198,8,21.066635
-0.148769,1,21.138099
1.173916,4,21.204695
-0.223296,2,21.276152
-0.843814,2,21.348751
1.44599,9,21.420758
-1.120527,4,21.493716
-1.015942,9,21.570761
-1.810833,10,21.646888
-0.817145,2,21.719221
0.406154,2,21.791363
-0.701032,2,21.86062
0.949849,4,21.926568
-1.121337,5,21.991516
-0.204664,3,22.054194
4.05455,6,22.129399
-1.361368,7,22.204496
-0.020857,2,22.276678
-0.972394,5,22.345255
-0.263853,1,22.411428
0.115502,6,22.482867
-4.209107,2,22.555231
0.555678,4,22.631649
1.260526,2,22.697507
-0.014896,2,22.769847
-1.338389,2,22.841975
-1.415191,1,22.912047
1.198996,4,22.985211
0.258781,1,23.050004
-0.075962,1,23.122133
0.464332,1,23.185513
-1.127298,2,23.255495
0.24566,2,23.327306
-2.531131,4,23.401861
3.719126,7,23.478817
-6.808655,10,23.557103
1.857872,3,23.630269
3.123246,5,23.703988
-2.647115,5,23.778116
-4.619331,13,23.853589
3.104007,8,23.932496
1.543379,1,24.00394
1.649044,8,24.079772
-1.704617,5,24.148528
-2.331272,4,24.222259
0.634237,6,24.296743
1.240625,8,24.373943
3.67193,5,24.447508
1.478146,2,24.515019
0.239356,6,24.590475
-1.47982,6,24.665381
-0.455952,3,24.738076
1.426159,16,24.820822
-2.085132,2,24.887204
-0.846079,2,24.951797
1.671407,6,25.026976
0.888445,2,25.099002
-0.234543,1,25.164935
-11.511112,13,25.243768
-0.337575,1,25.305878
0.337485,4,25.379366
-1.81989,8,25.455779
-3.144886,3,25.52541
3.335394,6,25.600378
-0.89723,1,25.665518
-0.426885,2,25.737185
-1.995758,9,25.813858
-8.223382,4,25.884381
-0.171381,6,25.958762
-3.740782,5,26.032807
-0.342083,15,26.113187
-5.569611,14,26.193822
-0.542115,1,26.26374
-3.794256,8,26.339875
0.093282,11,26.413661
0.888812,2,26.48586
2.192641,7,26.561015
-1.355993,5,26.637997
0.461641,1,26.706698
0.118351,6,26.781106
-5.698512,2,26.853109
-1.059416,3,26.927048
-1.818485,5,26.997722
3.96993,4,27.068508
-2.30657,4,27.141856
-2.178106,12,27.220152
-0.494153,1,27.29171
-1.015775,2,27.363448
-2.434385,5,27.43772
-0.506428,2,27.510246
-0.605055,7,27.576094
-1.910799,3,27.649195
-2.393855,5,27.718451
-2.44762,2,27.790136
-7.019349,22,27.871948
3.324206,7,27.947421
-1.869411,7,28.022694
-2.37842,6,28.090056
4.926412,8,28.160293
-0.661247,4,28.233583
1.713706,4,28.307063
-2.248429,3,28.378576
-0.631818,4,28.45091
0.560924,7,28.52694
3.696609,5,28.602589
0.447384,11,28.683052
0.0,1,28.741925
-1.09647,6,28.816837
1.531254,3,28.89111
-0.896776,8,28.963619
0.340445,5,29.037616
1.374093,2,29.109873
-0.444734,5,29.181111
0.605295,5,29.255215
-1.185083,1,29.318925
-5.462332,8,30.46771
0.403569,2,30.53249
-1.998568,7,30.60906
-9.799926,12,30.686389
-1.254158,7,30.758535
1.40042,6,30.833844
-1.531817,4,30.907368
-2.307621,5,30.980537
-0.051308,3,31.053555
1.264997,1,31.120819
-0.772193,13,31.20139
1.665509,4,31.275189
0.071245,1,31.347135
-1.79769,7,31.417789
-1.061619,3,31.49085
-1.181909,6,31.560634
-1.117565,4,31.631346
0.3398,2,31.703522
-5.199112,7,31.775367
1.60987,2,31.84119
0.248325,1,31.906017
0.57734,1,31.971979
5.284552,6,32.04069
0.171405,5,32.106348
0.960841,7,32.177474
1.671579,10,32.25578
2.014484,3,32.32871
-0.539072,6,32.402337
-0.644852,15,32.47868
-6.77273,7,32.554311
-0.312995,12,32.634891
-5.623713,9,32.713021
-1.856503,2,32.780911
3.092286,4,32.852543
2.016199,6,32.926849
1.353923,1,32.997788
1.730406,6,33.072706
-0.244576,5,33.147095
-2.226909,5,33.222905
1.87096,5,33.289609
1.600314,3,33.356477
-0.769593,2,33.429494
-2.73814,10,33.505201
2.058757,7,33.581375
-0.830885,7,33.656666
-1.673532,2,33.72465
3.779597,4,33.798134
-0.427377,5,33.865692
-1.141861,10,33.943187
-9.138493,12,34.019743
-0.588643,11,34.097878
-1.454378,3,34.171207
-3.863716,8,34.247413
-6.304953,10,34.319294
0.58634,2,34.391455
0.157081,2,34.463338
-0.083931,2,34.53513
-0.037899,3,34.608463
-1.537947,9,34.687983
-1.391408,5,34.762836
3.529124,8,34.83904
-2.311698,5,34.905593
-1.077495,2,34.970569
0.689001,2,35.042355
0.020285,2,35.114316
1.58191,4,35.184805
-0.346188,2,35.258021
1.149235,5,35.332737
-0.123475,4,35.405892
1.786757,4,35.474382
-1.132474,3,35.546824
-1.09683,5,35.621126
3.255643,3,35.691047
0.200743,3,35.762992
1.222555,4,35.829961
1.346387,5,35.903792
-1.432406,5,35.977639
-4.510124,4,36.044304
-1.201914,4,36.108849
0.811886,6,36.183248
1.537549,2,36.248249
-0.563305,4,36.321649
-4.064693,6,36.394718
-4.03526,7,36.468356
4.360594,6,36.542734
-1.143795,6,36.617672
-2.45922,6,36.694414
1.794398,3,36.762309
-0.935631,3,36.834961
-0.579607,4,36.900909
-0.14392,3,36.974084
-0.531945,6,37.048756
2.764154,3,37.122517
-7.053089,10,37.201722
3.891927,5,37.275813
0.729522,9,37.352738
-0.558389,6,37.428752
2.905026,8,37.499879
0.105218,2,37.572005
-1.702559,4,37.645778
-1.675524,1,37.712491
-0.01562,2,37.779674
1.165546,2,37.846112
-0.769118,2,37.91816
-1.275935,5,37.992672
0.431715,5,38.05798
0.367993,6,38.126142
2.869679,13,38.20466
-3.414144,5,38.269678
1.017182,3,38.342473
-0.658828,2,38.414598
-3.308697,6,38.481997
-3.839347,10,38.555519
-3.626156,12,38.634896
-2.328815,4,38.710438
0.021585,4,38.784007
1.315375,4,38.85709
-0.659218,1,38.925214
0.41055,3,38.99816
-0.718413,5,39.072283
2.282213,4,39.145491
2.343265,8,39.221619
-0.526418,16,39.298619
-0.518444,8,39.375038
-0.207217,7,39.443953
1.535915,5,39.517879
-0.035244,2,39.589532
1.394907,7,39.750472
0.315064,4,39.824929
1.389781,5,39.899351
-6.007472,7,39.968074
-2.229496,13,40.047753
-2.045483,10,40.125998
-0.394991,2,40.197998
0.270104,7,40.272836
3.200143,3,40.339033
-2.11983,7,40.414118
0.123303,8,40.487386
-2.419421,2,40.56022
3.199575,13,40.63928
-0.839871,2,40.712932
-1.168079,3,40.781849
-2.896479,3,40.855243
-1.198345,1,40.926214
-8.952931,8,41.001868
1.095904,1,41.074199
-1.890919,2,41.146687
-2.686517,7,41.217415
-0.023212,1,41.289833
1.583531,3,41.363159
-4.738158,9,41.435015
-3.607206,13,41.513996
5.472586,5,41.583884
-0.560854,4,41.657462
-0.936932,2,41.722991
1.680584,4,41.796781
0.61851,2,41.868566
-1.52616,7,41.943758
-10.952695,9,42.018122
-0.67075,1,42.089163
-0.203953,12,42.166077
-2.579333,4,42.239312
-0.478856,5,42.313119
-5.868424,7,42.383459
-3.28809,8,42.457776
0.255561,7,42.533729
-0.895465,3,42.606666
1.102923,3,42.67997
-0.464943,5,42.756014
0.948661,6,42.831025
-2.574309,8,42.906267
-0.024726,4,42.979622
-0.731931,14,43.058683
-0.97316,3,43.128854
-1.507993,5,43.203023
1.57673,5,43.277086
-0.953649,4,43.34576
2.927356,5,43.420345
6.943283,7,43.495935
-0.497122,1,43.567373
5.813237,6,43.642417
-2.757585,3,43.716352
0.148475,4,43.790068
1.033245,2,43.86226
-1.063318,7,43.939488
-0.154717,1,44.011084
4.344388,8,44.087123
-0.424686,11,44.157494
-0.070592,3,44.230064
-1.578064,1,44.29374
1.259383,3,44.365955
2.938359,7,44.437938
-1.521848,4,44.511498
-0.671386,2,44.579933
1.089995,4,44.654012
-3.160466,7,44.732368
-0.1,1,44.791405
0.0,1,44.850038
-0.1,1,44.908895
-0.1,1,44.968141
-0.1,1,45.026698
2.817463,5,45.096054
4.555729,7,45.172158
5.027916,7,45.245165
3.14136,13,45.324134
-4.10068,12,45.403335
1.038989,2,45.475891
-2.2832,7,45.541292
1.154701,3,45.614209
-3.516816,6,45.694811
1.077647,3,45.771407
-0.016439,1,45.8344
-1.918246,7,45.910288
1.058894,1,45.975153
-0.62698,1,46.047263
-0.490002,6,46.124848
-5.743355,10,46.196294
2.784859,4,46.269349
-7.678197,11,46.34732
-3.591463,5,46.415831
0.740104,6,46.490083
-1.144833,7,46.56563
-0.107187,9,46.642911
3.861579,6,46.720793
-0.005348,3,46.793995
-3.382661,4,46.859676
-0.683914,3,46.924308
1.108788,1,46.996643
-3.604395,8,47.072353
0.506738,8,47.146223
-4.668877,3,47.212778
-2.877057,6,47.287244
-0.502665,9,47.364771
-1.138754,2,47.436852
1.640379,3,47.510439
1.366076,6,47.584933
4.201694,3,47.654359
1.905334,10,47.732295
-1.377161,6,47.807355
-1.531875,4,47.880852
-2.605323,5,47.951682
0.519892,4,48.022983
2.226987,3,48.095902
-0.147535,2,48.166948
-2.609207,2,48.233337
2.473514,6,48.309021
-3.698841,7,48.379466
-0.06546,1,48.451364
0.560869,4,48.51813
0.389706,1,48.589594
-0.587697,2,48.660241
-4.584217,10,48.73894
1.180933,2,48.81155
-0.295571,4,48.885819
-3.877202,5,48.961116
-1.226045,4,49.034708
-1.43999,10,49.106142
1.057968,6,49.181667
-2.428371,5,49.255876
2.846129,5,49.329983
0.118622,6,49.403601
2.848627,9,49.480084
3.395228,11,49.558158
0.239676,5,49.633709
-0.330524,2,49.705768
-2.423638,6,49.780525
-1.561289,7,49.855724
-4.331066,15,49.936779
0.486107,14,50.015116
-0.790126,2,50.086544
-1.487218,7,50.160068
0.314937,7,50.235282
-4.870462,3,50.305121
0.849424,3,50.377453
-2.715432,4,50.444281
-0.058477,1,50.51517
-10.662138,7,50.58924
0.349096,2,50.66125
0.405525,4,50.73474
-1.874711,5,50.812028
1.375222,2,50.885035
2.553098,8,50.960034
0.503012,2,51.025384
0.743906,3,51.098402
-0.464157,3,51.172339
-2.268582,3,51.2463
0.284998,2,51.31866
-2.677928,7,51.394995
-0.656972,2,51.467481
3.944678,12,51.546256
-3.523492,4,51.614891
-0.81764,6,51.681815
0.904699,2,51.754268
-0.774759,1,51.824301
0.629528,2,51.896793
-4.114215,10,51.972303
1.530607,6,52.042994
-2.959511,2,52.116081
2.485053,10,52.192298
-7.853655,6,52.267236
0.577636,3,52.340222
-0.38509,3,52.413304
-1.549416,1,52.484725
-1.508498,2,52.553566
-0.418147,4,52.620193
1.538684,6,52.693389
2.601262,4,52.768482
3.04345,9,52.844809
-0.31875,5,52.919638
-3.081241,5,52.987528
1.574843,4,53.067138
-0.708922,2,53.137861
-0.817505,6,53.213012
-0.422151,2,53.284883
-0.35999,1,53.356194
-5.85126,9,53.4335
-0.331894,3,53.506963
4.169957,4,53.58105
0.548512,4,53.648535
0.449533,7,53.723337
1.139007,1,53.792419
-0.696473,5,53.866243
-0.803678,3,53.941112
-1.095252,10,54.018619
0.343569,11,54.091563
-0.178183,11,54.169831
0.570183,13,54.24926
0.586389,2,54.322706
-0.928795,3,54.396733
-0.555565,8,54.473126
1.983559,4,54.548262
1.304965,4,54.621815
-3.558001,6,54.694977
-3.056428,7,54.770737
4.535626,11,54.852
-1.113117,5,54.925962
1.920044,9,54.998071
-3.499965,4,55.072354
0.32188,2,55.144627
-1.603696,3,55.217737
1.309859,2,55.29018
3.646117,9,55.367203
-1.345955,13,55.441007
2.064326,7,55.511004
7.802197,10,55.586697
-3.338135,9,55.663815
-1.619144,3,55.736678
-1.14594,8,55.813022
2.784602,6,55.884894
-3.669907,15,55.964978
-1.018657,5,56.039818
-2.293744,3,56.112998
0.865219,5,56.187191
-0.395471,9,56.260603
2.362667,3,56.333859
-0.126733,3,56.402674
-0.465535,2,56.475282
0.794693,1,56.544836
-2.720802,3,56.61087
-1.76599,8,56.687868
-1.128262,2,56.760443
-1.191911,2,56.833077
0.109457,4,56.907012
1.734932,3,56.979599
-0.588271,2,57.047963
2.514375,3,57.112886
-1.380165,2,57.184533
-0.450773,3,57.257182
-1.149366,8,57.332733
1.577706,5,57.407048
-0.302967,8,57.478088
0.186831,1,57.550005
2.716439,3,57.614895
-3.645949,6,57.689929
-1.535279,11,57.768297
-4.173623,7,57.839654
-2.365379,10,57.91741
1.24414,9,57.992748
-3.820118,3,58.061265
0.610454,4,58.127823
1.401549,4,58.201546
-0.573226,4,58.274867
-1.707244,5,58.348863
2.486075,4,58.422332
-0.203768,5,58.490238
1.206006,2,58.557383
1.606976,8,58.633011
-2.671635,4,58.704303
1.73265,5,58.775111
-2.856519,4,58.846897
-4.026957,8,58.924996
2.494465,4,58.994651
-1.072028,5,59.068657
-4.894399,13,60.327275
-1.484774,6,60.403251
-0.631729,3,60.476047
-0.978417,1,60.547799
-0.799265,9,60.625158
1.152095,3,60.697658
1.440783,9,60.774777
-2.115274,2,60.848328
-2.330896,8,60.921328
-2.297727,5,60.989004
-1.831171,5,61.063208
-0.138819,4,61.137322
0.003179,5,61.2095
0.433482,3,61.282368
-3.916348,3,61.355728
0.403212,8,61.431087
-1.798252,7,61.502658
0.631354,2,61.575769
-0.30596,4,61.6495
-3.218352,4,61.719184
-8.011051,7,61.795799
0.290589,4,61.869175
-1.617766,3,61.934576
-3.98776,6,62.01017
1.788746,2,62.082758
-2.916026,9,62.160171
0.63152,7,62.235582
1.633752,7,62.30723
1.533757,2,62.373971
0.981842,2,62.446148
-2.912478,7,62.521613
0.118836,1,62.594535
-0.290849,4,62.667705
1.136827,10,62.744918
-1.959395,3,62.819297
-3.314194,13,62.898731
-2.893066,4,62.973125
-1.816985,6,63.039722
0.469312,2,63.112223
-1.497858,2,63.179456
-0.223064,6,63.253957
-6.935465,12,63.332971
-2.147043,8,63.409547
-3.511856,9,63.482432
2.738849,9,63.558552
-0.056794,1,63.619317
-0.824058,3,63.680732
-0.763629,2,63.741658
0.146367,1,63.802243
0.15679,1,63.862781
1.336942,4,63.938243
-0.770146,5,64.012127
1.260997,10,64.089931
1.976176,2,64.160419
-0.151997,4,64.233882
-4.739065,6,64.308622
0.067997,4,64.382015
1.561595,6,64.455185
2.500502,3,64.52945
-1.296504,3,64.59608
1.999887,9,64.66806
-0.098334,2,64.739726
1.582893,8,64.817022
0.74964,1,64.889317
-0.912673,5,64.95651
-4.325613,5,65.030869
-0.708812,1,65.097618
-1.399903,3,65.170677
-1.84552,4,65.243991
1.650801,2,65.310214
-0.641904,5,65.3844
4.432804,8,65.460481
0.220636,2,65.532528
-3.174939,4,65.606102
0.645344,1,65.675793
-2.054503,3,65.748584
1.316034,2,65.821269
0.916854,1,65.892946
6.256853,8,65.968794
1.287417,9,66.04207
0.67175,1,66.11337
4.958552,5,66.186828
0.987296,2,66.259329
-3.259348,5,66.333917
-7.31718,7,66.406944
1.316792,5,66.481273
3.242179,10,66.557553
0.431829,5,66.625032
-2.596689,4,66.696682
0.504337,3,66.769357
0.030778,1,66.843256
-2.881959,5,66.917739
0.009779,1,66.98543
0.163523,8,67.061358
-1.411544,4,67.134545
-0.882306,1,67.204004
1.366675,4,67.277066
-3.533365,10,67.350557
0.183441,4,67.423435
0.06787,4,67.496834
0.524459,5,67.567319
1.566907,2,67.639252
0.855812,7,67.708302
0.478776,3,67.778198
-0.465816,1,67.849615
-0.351557,4,67.914829
0.546356,1,67.986427
3.676694,10,68.061492
-1.557814,8,68.136722
2.46942,7,68.207195
1.169895,5,68.281047
-6.48222,6,68.355601
2.940209,9,68.427463
-0.510268,1,68.499191
-0.376796,5,68.574391
2.374112,2,68.645046
0.354067,2,68.71617
-0.468161,1,68.78437
0.352494,9,68.864694
1.2452,3,68.932231
-0.471703,3,69.005432
-0.358953,1,69.077319
1.859516,15,69.157582
3.369994,6,69.231826
4.189042,8,69.30246
5.557654,8,69.379283
-4.148655,13,69.45921
-0.602931,1,69.531303
0.112834,7,69.600019
1.304847,1,69.670616
-5.100137,4,69.740214
-0.798601,1,69.809376
0.152806,9,69.886176
1.238651,4,69.960013
-2.228896,3,70.033932
-4.023495,11,70.111881
0.688609,4,70.184658
0.836551,9,70.256617
0.986282,5,70.328379
-0.026391,8,70.403408
-0.155178,4,70.47756
2.555577,9,70.554611
-1.137443,7,70.630219
-1.276507,4,70.702668
-0.677951,9,70.775534
-2.047263,6,70.846086
-0.673095,3,70.919355
-1.251578,3,70.991615
-1.710433,2,71.058577
0.360188,3,71.130845
2.975946,4,71.199122
0.263808,14,71.278362
-3.013323,5,71.352564
-3.343557,14,71.427811
-0.399894,8,71.501762
-3.686139,4,71.569345
-1.921034,8,71.64508
